group,variant,placement,round,operations,elapsed_ns,ns_per_op,ops_per_second,producer_full,consumer_empty
counters,separate_lines,different_cores,8,5000000,21098199.000000,4.219640,236987052.781140,0,0
counters,single_writer,one_thread,8,5000000,21036838.000000,4.207368,237678305.076077,0,0
queue,separated_uncached,different_cores,8,5000000,88705490.000000,17.741098,56366297.057826,0,269876
queue,shared_cached,different_cores,8,5000000,105939410.000000,21.187882,47196789.183553,19570,374829
queue,separated_cached,different_cores,8,5000000,29376052.000000,5.875210,170206670.385796,11915,35444
counters,same_counter,different_cores,8,5000000,176827315.000000,35.365463,28276174.413438,0,0
counters,shared_line,different_cores,8,5000000,176828052.000000,35.365610,28276056.561433,0,0
queue,separated_cached,different_cores,9,5000000,20386484.000000,4.077297,245260536.343589,25351,14121
queue,separated_uncached,different_cores,9,5000000,89648649.000000,17.929730,55773288.898085,1066,286764
queue,shared_cached,different_cores,9,5000000,107704599.000000,21.540920,46423272.974629,4392,412163
counters,same_counter,different_cores,9,5000000,174356206.000000,34.871241,28676925.901909,0,0
counters,shared_line,different_cores,9,5000000,176517387.000000,35.303477,28325821.523746,0,0
counters,shared_line,smt_siblings,9,5000000,46853980.000000,9.370796,106714520.303291,0,0
counters,separate_lines,different_cores,9,5000000,21134757.000000,4.226951,236577122.698879,0,0
queue,shared_uncached,different_cores,9,5000000,99060130.000000,19.812026,50474393.683917,44575,378219
counters,single_writer,one_thread,9,5000000,21068240.000000,4.213648,237324047.950849,0,0
counters,separate_lines,different_cores,10,5000000,21056270.000000,4.211254,237458961.155038,0,0
counters,shared_line,smt_siblings,10,5000000,46920752.000000,9.384150,106562656.966794,0,0
counters,shared_line,different_cores,10,5000000,176934504.000000,35.386901,28259044.374974,0,0
queue,separated_cached,different_cores,10,5000000,21650723.000000,4.330145,230939170.022174,4155,21967
queue,separated_uncached,different_cores,10,5000000,87865709.000000,17.573142,56905020.819897,358,266747
counters,single_writer,one_thread,10,5000000,21096395.000000,4.219279,237007318.074960,0,0
queue,shared_cached,different_cores,10,5000000,105716564.000000,21.143313,47296277.998593,30552,394135
counters,same_counter,different_cores,10,5000000,176324590.000000,35.264918,28356793.570313,0,0
queue,shared_uncached,different_cores,10,5000000,77955118.000000,15.591024,64139470.611795,620516,91763
counters,single_writer,one_thread,11,5000000,21150092.000000,4.230018,236405591.048966,0,0
queue,separated_uncached,different_cores,11,5000000,85834874.000000,17.166975,58251381.600444,132,262496
counters,separate_lines,different_cores,11,5000000,21118901.000000,4.223780,236754744.008696,0,0
counters,same_counter,different_cores,11,5000000,178239491.000000,35.647898,28052144.740472,0,0
queue,shared_cached,different_cores,11,5000000,109175021.000000,21.835004,45798021.875352,14901,416014
queue,shared_uncached,different_cores,11,5000000,103037508.000000,20.607502,48526018.311701,153006,363679
counters,shared_line,smt_siblings,11,5000000,46875613.000000,9.375123,106665271.769353,0,0
queue,separated_cached,different_cores,11,5000000,33644709.000000,6.728942,148611777.263403,4184,54546
counters,shared_line,different_cores,11,5000000,175465148.000000,35.093030,28495687.360090,0,0
counters,single_writer,one_thread,12,5000000,21160789.000000,4.232158,236286085.551914,0,0
queue,separated_cached,different_cores,12,5000000,28982542.000000,5.796508,172517648.727983,778,41374
counters,separate_lines,different_cores,12,5000000,21157225.000000,4.231445,236325888.673964,0,0
counters,shared_line,different_cores,12,5000000,176470286.000000,35.294057,28333381.858972,0,0
